-60	-160	-90	-60	-75	-90	-60	-120	-90	1	423	-119	-320
-75	-155	-70	-70	-90	-70	-60	-120	-90	1	423	-119	-320
-70	-150	-70	-85	-90	-70	-60	-120	-90	1	423	-119	-320
-60	-145	-88	-60	-95	-86	-60	-120	-90	1	423	-119	-320
-60	-160	-90	-60	-78	-90	-60	-120	-90	1	423	-119	-320
-60	-165	-90	-60	-90	-90	-60	-120	-90	1	423	-119	-320
-80	-150	-70	-70	-90	-70	-60	-120	-90	1	423	-119	-320
-70	-150	-70	-90	-90	-70	-60	-120	-90	1	423	-119	-320
-72	-152	-68	-70	-90	-70	-60	-120	-90	1	423	-119	-320
-60	-145	-80	-60	-95	-85	-60	-120	-90	1	423	-119	-320
-70	-150	-70	-80	-90	-70	-60	-120	-90	1	423	-119	-320
-60	-160	-90	-60	-65	-90	-60	-120	-90	1	423	-119	-320
-60	-150	-90	-60	-80	-90	-60	-120	-90	1	423	-119	-320
-60	-152	-90	-60	-90	-90	-60	-120	-90	1	423	-119	-320
-60	-150	-90	-60	-75	-90	-60	-120	-90	1	423	-119	-320
-70	-150	-70	-75	-90	-70	-60	-120	-90	1	423	-119	-320
-70	-150	-70	-70	-85	-65	-60	-120	-90	1	423	-119	-320
-60	-145	-85	-60	-95	-80	-60	-120	-90	1	423	-119	-320
-60	-170	-90	-60	-80	-90	-60	-120	-90	1	423	-119	-320
-60	-160	-90	-60	-90	-90	-60	-120	-90	1	423	-119	-320
-60	-150	-90	-60	-88	-90	-60	-120	-90	1	423	-119	-320
-60	-165	-60	-60	-75	-75	-60	-120	-90	1	423	-119	-320
-70	-150	-70	-72	-88	-68	-60	-120	-90	1	423	-119	-320
-60	-165	-90	-60	-80	-90	-60	-120	-90	1	423	-119	-320
-75	-150	-70	-70	-90	-70	-60	-120	-90	1	423	-119	-320
-75	-155	-65	-70	-90	-70	-60	-120	-90	1	423	-119	-320
-60	-145	-86	-60	-95	-88	-60	-120	-90	1	423	-119	-320
-60	-165	-75	-60	-75	-60	-60	-120	-90	1	423	-119	-320
-60	-162	-90	-60	-80	-90	-60	-120	-90	1	423	-119	-320
-70	-150	-70	-75	-85	-70	-60	-120	-90	1	423	-119	-320
-70	-150	-70	-72	-88	-70	-60	-120	-90	1	423	-119	-320
-90	-150	-70	-70	-90	-70	-60	-120	-90	1	423	-119	-320
-60	-175	-90	-60	-80	-90	-60	-120	-90	1	423	-119	-320
-60	-150	-90	-60	-85	-90	-60	-120	-90	1	423	-119	-320
-60	-165	-60	-60	-75	-30	-60	-120	-90	1	423	-119	-320
-72	-152	-70	-70	-90	-70	-60	-120	-90	1	423	-119	-320
-85	-150	-70	-70	-90	-70	-60	-120	-90	1	423	-119	-320
-60	-160	-90	-60	-70	-90	-60	-120	-90	1	423	-119	-320
-60	-155	-90	-60	-90	-90	-60	-120	-90	1	423	-119	-320
-60	-165	-30	-60	-75	-60	-60	-120	-90	1	423	-119	-320
-90	-180	-40	-70	-90	-70	-60	-120	-90	1	423	-119	-320
-60	-150	-70	-60	-70	-30	-60	-120	-90	1	423	-119	-320
-75	-160	-60	-70	-90	-70	-60	-120	-90	1	423	-119	-320
-60	-150	-70	-60	-80	-20	-60	-120	-90	1	423	-119	-320
-85	-170	-20	-70	-90	-70	-60	-120	-90	1	423	-119	-320
